id,brand,title,type,format,concept,copy,media_url,landing_url,start_date,end_date,status,channels,note
cr001,BOH,BOH 봄 신메뉴 배너,image,배너 1200x628,신메뉴 프로모션,봄의 맛을 담은 새로운 메뉴 출시!,https://placehold.co/1200x628/FF6B35/FFFFFF?text=BOH+Spring+Menu,https://boh.co.kr/menu,2025-03-01,2025-03-31,ended,"Meta,Google",봄 시즌 한정 소재
cr002,BOH,BOH 브랜드 영상 15s,video,피드 영상 1:1,브랜드 인지도,당신의 일상에 BOH가 함께합니다,https://placehold.co/600x600/FF6B35/FFFFFF?text=BOH+Brand+Video,https://boh.co.kr,2025-04-01,2025-04-30,ended,"Meta,YouTube",브랜드 인지 캠페인용
cr003,BOH,BOH 할인 프로모션,image,스토리 9:16,프로모션/할인,지금 바로 30% 할인 혜택을 누리세요!,https://placehold.co/600x1067/FF6B35/FFFFFF?text=BOH+Sale+30%25,https://boh.co.kr/sale,2025-05-01,2025-05-31,active,"Meta,TikTok",5월 할인 프로모션
cr004,BOH,BOH 리타겟팅 배너,image,배너 300x250,리타겟팅,다시 돌아오세요 특별한 혜택이 기다려요,https://placehold.co/300x250/FF6B35/FFFFFF?text=BOH+Back,https://boh.co.kr/event,2025-05-01,2025-05-31,active,Google,사이트 방문자 리타겟팅
cr005,WM,WM 신규 가입 피드,image,피드 1:1,신규 획득,지금 가입하면 첫 달 무료!,https://placehold.co/600x600/4A90E2/FFFFFF?text=WM+Join+Now,https://wm.co.kr/join,2025-03-15,2025-04-15,ended,"Meta,Naver",신규 가입 유도 소재
cr006,WM,WM 서비스 소개 영상,video,인스트림 16:9,서비스 인지도,WM과 함께 더 스마트하게,https://placehold.co/1280x720/4A90E2/FFFFFF?text=WM+Service,https://wm.co.kr/about,2025-04-01,2025-05-31,active,"YouTube,Meta",서비스 소개 영상 30s
cr007,WM,WM 쿠폰 프로모션,image,배너 728x90,프로모션/쿠폰,5만원 즉시 할인 쿠폰 지금 받기,https://placehold.co/728x90/4A90E2/FFFFFF?text=WM+Coupon,https://wm.co.kr/coupon,2025-05-01,2025-05-31,active,"Google,Naver",5만원 쿠폰 배너
cr008,WM,WM 카카오 메시지 배너,image,카카오 비즈보드,신규 획득,지금 바로 확인하세요!,https://placehold.co/1029x258/4A90E2/FFFFFF?text=WM+Kakao,https://wm.co.kr/kakao,2025-04-15,2025-05-15,paused,Kakao,성과 미달로 일시정지
cr009,CG,CG 봄 컬렉션 피드,image,피드 4:5,신상품 출시,2025 봄 컬렉션 지금 만나보세요,https://placehold.co/480x600/7B68EE/FFFFFF?text=CG+Spring+2025,https://cg.co.kr/collection,2025-03-01,2025-03-31,ended,"Meta,Google",봄 시즌 신상품
cr010,CG,CG 브랜드 릴스,video,릴스 9:16,브랜드 인지도,CG와 함께하는 특별한 순간,https://placehold.co/600x1067/7B68EE/FFFFFF?text=CG+Reels,https://cg.co.kr,2025-04-01,2025-05-31,active,"Meta,TikTok",릴스/숏폼 영상
cr011,CG,CG 멤버십 가입 유도,image,배너 1200x628,멤버십/구독,CG 멤버십 가입하고 exclusive 혜택 받기,https://placehold.co/1200x628/7B68EE/FFFFFF?text=CG+Membership,https://cg.co.kr/membership,2025-05-01,2025-05-31,active,"Meta,Naver",멤버십 가입 유도
cr012,CG,CG TikTok 숏폼,video,틱톡 9:16,바이럴/챌린지,#CG챌린지 지금 참여하세요!,https://placehold.co/600x1067/7B68EE/FFFFFF?text=CG+TikTok,https://cg.co.kr/challenge,2025-04-15,2025-05-31,active,"TikTok,Meta",챌린지 바이럴 소재
