id,creative_name,brand,media_type,thumbnail_url,video_url,platform,campaign_type,description,tags,impressions,clicks,ctr,spend,conversions,cpa,roas,revenue,start_date,status
cr001,BOH_여름신상_15초_모델A,BOH,video,https://images.unsplash.com/photo-1522335789203-aaa2f6e6f4d9?w=400,https://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4,Meta,퍼포먼스,여름 신상품 라인업을 소개하는 15초 영상 소재. 트렌디한 모델 A를 활용하여 MZ세대 타겟,"여름신상,MZ타겟,모델컷",1245000,38920,3.13,8500000,1240,6854,412,35020000,2026-04-15,운영중
cr002,BOH_할인이벤트_정사각_배너,BOH,image,https://images.unsplash.com/photo-1607082348824-0a96f2a4b9da?w=400,,Google,퍼포먼스,최대 50% 할인 이벤트 강조 배너. 가격 소구 중심 디자인,"할인,가격소구,배너",890000,21450,2.41,4200000,680,6176,385,16170000,2026-04-20,운영중
cr003,BOH_브랜드스토리_30초,BOH,video,https://images.unsplash.com/photo-1483985988355-763728e1935b?w=400,https://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4,TikTok,브랜딩,브랜드 헤리티지를 강조한 감성 영상. 인지도 확대 목적,"브랜드스토리,감성,헤리티지",2150000,32250,1.5,12000000,480,25000,198,23760000,2026-03-25,운영중
cr004,WM_신제품런칭_캐러셀,WM,image,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=400,,Meta,퍼포먼스,신제품 5종 라인업을 캐러셀로 구성. 제품 USP 강조,"신제품,캐러셀,USP",1580000,56200,3.56,9800000,1850,5297,478,46844000,2026-04-10,운영중
cr005,WM_리뷰후기_UGC,WM,video,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=400,https://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4,TikTok,퍼포먼스,실 사용자 리뷰 UGC 영상. 신뢰도 기반 전환 유도,"UGC,리뷰,신뢰도",1820000,72800,4.0,7600000,2430,3128,612,46512000,2026-04-05,운영중
cr006,WM_리타겟팅_장바구니,WM,image,https://images.unsplash.com/photo-1607082349566-187342175e2f?w=400,,Google,리타겟팅,장바구니 이탈 유저 대상 리타겟팅 배너. 할인 쿠폰 제공,"리타겟팅,쿠폰,장바구니",450000,18900,4.2,2800000,920,3043,685,19180000,2026-04-18,운영중
cr007,WM_시즌오프_세로형,WM,image,https://images.unsplash.com/photo-1483985988355-763728e1935b?w=400,,Naver,퍼포먼스,시즌오프 행사 세로형 디스플레이 배너,"시즌오프,세일,디스플레이",720000,12240,1.7,3600000,380,9474,245,8820000,2026-04-22,종료
cr008,CG_프리미엄_라인_영상,CG,video,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,https://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4,Meta,브랜딩,CG 프리미엄 라인 소개 영상. 고급스러운 무드 연출,"프리미엄,고급,무드컷",980000,23520,2.4,6700000,720,9306,358,23986000,2026-04-12,운영중
cr009,CG_콜라보_한정판_배너,CG,image,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400,,Kakao,퍼포먼스,유명 아티스트 콜라보 한정판 출시 배너,"콜라보,한정판,아티스트",1350000,47250,3.5,8900000,1580,5633,522,46458000,2026-04-08,운영중
cr010,CG_혜택강조_GIF,CG,image,https://images.unsplash.com/photo-1556909114-44e3e9699e2b?w=400,,Google,퍼포먼스,회원 가입 혜택 강조 GIF 배너,"회원혜택,GIF,가입유도",620000,14260,2.3,3200000,540,5926,405,12960000,2026-04-25,운영중
cr011,CG_쇼츠_15초_트렌드,CG,video,https://images.unsplash.com/photo-1611162617213-7d7a39e9b1d7?w=400,https://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4,TikTok,퍼포먼스,트렌드 챌린지 활용 쇼츠 영상,"쇼츠,챌린지,트렌드",2480000,94240,3.8,11500000,2680,4291,545,62675000,2026-04-01,운영중
cr012,BOH_네이버_검색광고_썸네일,BOH,image,https://images.unsplash.com/photo-1490481651871-ab68de25d43d?w=400,,Naver,퍼포먼스,네이버 검색광고 노출용 썸네일 이미지,"검색광고,썸네일,네이버",380000,15960,4.2,2500000,720,3472,588,14700000,2026-04-16,운영중
